Number,File Location,Title/Description,Date,Source Type,Priority Level for Synthesis Doc,New or Key Facts,Difference from previous assessment,Magnitude of bias - (|forecasted value - updated value|/forecasted value) x 100%,Bias rating discussion,Faster?,Worse?,Transformative Significance (# out 4),"Examples of broader implication (could do lots here, but going to give only 1 per entry as an example)",Indepedent Source Verification for 3/4s
10,Atmosphere & Solar/Aerosol forcing by year.jpg,Explanation of 23 and 24 Aerosol forcing,2025,Unknown,Secondary,Residual components to heating are increasing and large.  Trying to constrain possible additive figures,"Forcings are larger than many assessments. 24 is bigger than 23, implying forcings are growing and '23 isn't just a blip'",,,FALSE,TRUE,2,So is 24 more anomalous to them?  Are we assuming aerosol forcings shifted in 1 year?,
11,Atmosphere & Solar/CH4_mm.png,MIT Methane estimates,2024,Academic/Peer-reviewed,Secondary,Since 2007 Ch4 emissions have grown and accelerated,"CH4 has not peaked, it is accelerating.  Northern apportionment is worse",,,TRUE,TRUE,3,"North hemisphere has more population = more methane, but also arctic methane is first observed deposits to 'leak'",Multiple
12,Atmosphere & Solar/Charting the Exceptional Unexpected Heat of 2023 and 2024.pdf," Charting the Exceptional, Unexpected Heat of 2023 and
 2024 by NASA",2024,Academic/Peer-reviewed,Primary,"Predictions for 23 and 24  surface heating were wrong, Gavin says  “Warming in 2023 was head-and-shoulders above any other year, and 2024 will be as
 well,” Schmidt said. “I wish I knew why, but I don’t. We’re still in the process of assessing
 what happened and if we are seeing a shift in how the climate system operates.”",Heating at times was more than 2 standard devs above meanline.  1.48C was goddard assessment vs 1.2 anticipation,23%,,TRUE,TRUE,2,I very much respect someone saying he doesn't know.  Not a great sign when it’s the head of a major agency and I think we should believe him,
13,Atmosphere & Solar/Climate models with low sensitivity to greenhouse gases do not align with satellite measurements.pdf,"Climate models with low sensitivity to
 greenhouse gases do not align with satellite
 measurements Centre for International Climate study",2025,Academic/Peer-reviewed,Secondary,Paper generally finds climate models (especially non CMIP6) from the 'lower half of ECS estimates' are less likely.,"Interestingly, EEI is *above* any model estimates they assess.  No recognition of this?",80%,"80% of climate models ran low ECS & 80% of IPCC talk is of <2C. If EEI is higher, than they're talking about the wrong subject. We could go even higher here though, because EEI is 2x…",FALSE,TRUE,2,"The more EEI increases, the less likely each model becomes until even the 'top' is too cold",
14,Atmosphere & Solar/CloudFeedback.13May2025.pdf,Large Cloud Feedback Confirms High Climate Sensitivity by James Hansen,2025,Academic/Peer-reviewed,Primary,"3 different measurements all show ECS above IPCC.  Hansen bemoans being labelled as 'outlier'.   Hansen estimates are 4.5+/-.5C or so for ECS, 1 to 1.5w/m2 likely 'cloud feedback'","IPCC gives 3C avg for ECS,  .2 to .8 w/m2 for cloud feedbacks",400%,"No shit, I could have used a 1500% bias here. Depends on what we want to pick as error. At it's core, I'm going with the .2 vs 1.0 w/m2",FALSE,TRUE,3,"Hansen thinks cloud error might be bigger than aerosol error, or at least large coupled error.  Thinks ECS is <2x error though, so he thinks most errors are accounted for.  Makes me wonder why cloud feedback error couldn't be larger though?  We have a study on that",Continuous sterane and phytane ?13 C record reveals a substantial pCO2 decline since the mid-Miocene - Earth ECS might be much higher
15,Atmosphere & Solar/EEI 48 month.jpg,Leon Simmons/CERES 48 month EEI,2024,Academic/Peer-reviewed,Primary,48 month mean EEI is 1.4W/M2,Above any IPCC pathways + forcings for this time.  Spread has grown since 2004,,,FALSE,TRUE,3,"If all pathways are off, all forecasts are off.  Referring to them might not create any accuracy, just MORE confusion",An intensification of surface Earth’s energy imbalance since the late 20th century
16,Atmosphere & Solar/FlyingBlind.14September2023.pdf,Global Warming is Accelerating. Why? Will We Fly Blind? James Hansen,2023,Academic/Peer-reviewed,Primary,.24/decadal el nino,.18/decadal el nino previous.  El Nino forcing + Tonga doesn't explain ocean temps,33%,,TRUE,TRUE,2,"el nino effect + unexpected other forcings = surge past threshhold before 'smooth' growth.  I expect the next one of these to cement 2C, 26/27/28",
17,Atmosphere & Solar/Forecast2024-1024x564.webp,Example of 2024 Global Forecast - NWS,2023,Academic/Peer-reviewed,Secondary,Forecast range for 24 (after 23 mis-calculation),"Forecast was accurate this year, but range median notably increased from prior years",,,FALSE,TRUE,2,My guess - forecast is only right because they said 'no bumps'.  They can predict when no bumps.  But lots more bumps coming,
18,Atmosphere & Solar/GD-Q_C7aMAA2JX5.jpg,Carbon Brief comparison of 2023 temp projections,2023,News/Media,Secondary,23 was above all major forecasts tracked,".2C above some medians, and above all top ranges",42%,so let's take 3/4 range 25% + 17% above top,FALSE,TRUE,2,"No one called in range, so truly unexpected.  I bet this ends up like US polling error, we're told the math is changed but next big event they still don't catch enso + forcings",
19,Atmosphere & Solar/GcMKp-GXgAABXBO.jpeg,ECMWF Brazil drought,2023,Academic/Peer-reviewed,Secondary,23-24 drought was 3.2 std from normal,Previous record was 1.8 and shorter,78%,,TRUE,TRUE,2,"Brazil rainforest has already tipped, we're just not synthesizing",
20,Atmosphere & Solar/GdSxY33XoAAOHUz.jpg,Berkeley Earth 24 temp average,2024,Academic/Peer-reviewed,Secondary,above 1.6C range for 8 months of 24,"24 hottest year, above 1.5C.  1.5C 'passed' over 12 months",,1.5C has arrived. Should we assess that? What about when we went to 2 years?,TRUE,TRUE,2,"We've past 1.5, now we're just talking about 'how long at 1.5' is a problem.",
21,Atmosphere & Solar/GdexMxsXoAAki-q.png,Club of Rome Planck/IR,2024,Academic/Peer-reviewed,Secondary,temp/IR decouples in 2008.,Higher than IPCC estimates by likely at least 33%,33%,,FALSE,TRUE,2,"Can we just increase IPCC dates by 33%?  Doubt it, but fast sometimes trumps exact",
22,Atmosphere & Solar/GdpAx2zXwAAYPkJ.png,Club of Rome Global Temp above pre-industrial,2024,Academic/Peer-reviewed,Secondary,Decadal increase of .43C,.18C or thereabouts,139%,,TRUE,TRUE,2,"Different than other calcs, but everyone suggesting >50% increases in speed which means severity is even greater",
23,Atmosphere & Solar/GjsklHGXEAAh9z2.jpg,Leon Simons EEI above IPCC,2025,Academic/Peer-reviewed,Primary,EEI is above high estimates + forcings for all but <1 year,Mid pathway + forcings is 1/2 observation anomaly,100%,,FALSE,TRUE,4,"If we're generally 2x then speed is greater and severity is even greater.  My math suggests 2C by 2026-2028, 2.5C early 2030.  Purely nonlinear starts in that timeframe, if not here already.  Or get this, nonlinear is already in some systems and is simply now spreading.  So we're waiting for it to spread into temps themselves, and this gets us there even faster",Multiple
24,Atmosphere & Solar/GlUd_m8WkAAQ9cx.jpg,Conaqua map of Mexico Drought,2024,Academic/Peer-reviewed,Secondary,"85% of mexico under heatwave, +45C peaks","all time peak of +5C, vs +.2 or .3 'new highs'",500%,"We'll stick to 500% here, as we could go much larger. But if we assume 1C is about where a new high should land in summer, what do we make of this?",TRUE,TRUE,1,"Temp shouldn't go up 5C new record, this implies very big ceilings possible.  I don't calculate beyond human threshholds though, so here we see 50C is just one more equal sized jump?",
25,Atmosphere & Solar/Global SO2 & ASR.png,Leon Simons SO2 and IR,2024,Academic/Peer-reviewed,Secondary,4w/m2 anomaly 4 years after SO2 removal,1.5w/m2 anomaly previous to 2020,175%,This suggests at least a jump this large in local forcing from SO2,FALSE,TRUE,2,Are we SURE other aerosols aren't modelled wrong too?,
26,Atmosphere & Solar/Global Warming Has Accelerated Are the United Nations and the Public Well-Informed2.pdf,"Global Warming Has Accelerated: Are the United
 Nations and the Public Well-Informed? By James Hansen",2025,Academic/Peer-reviewed,Primary,"1.5C effectively breached, ie we will not drop beneath it in a large way again","2040 is general estimate of 2018 IPCC 1.5C, though this is an averaged mean.  Still, using their math earliest we'd expect 1.5C is 2025 but more like 2030 given accelerated increases",55%,,TRUE,TRUE,2,"3 years vs 15 years is pretty bad.  And most of their other years use 'bended' trendlines, not accelerating.",
27,Atmosphere & Solar/Global Warming in the Pipeline.pdf,Global warming in the pipeline by James Hansen,2023,Academic/Peer-reviewed,Primary,"4.8 +/- 1.2 C ECS, 8 to 10C 'final warming'",3C IPCC with 4 to 5 final warming (if not lower),60%,,TRUE,TRUE,3,"ECS never worked for me, it's changing because of us right?  So why aren't we part of the equation?  We launch nukes the whole number is useless.  Well its equally useless when we leave  100 other things out of it.  We never 'finalize it' because we don't care about Earth really, we care about us.  So why not reflect that?",Multiple
28,Atmosphere & Solar/Groundhog.04January2024.pdf,"Groundhog Day. Another Gobsmackingly Bananas Month. What’s Up, James Hansen",2025,Academic/Peer-reviewed,Primary,"7th month of record, with at least 12 to 13 anticipated (we end up with 15 or 16 on oceans in actuality).  Future la nina's likely 1.4+/-.1C (next la nina was above 1.5C)",Even Hansen estimates are conservative,14%,,FALSE,TRUE,3,"Hansen gives same prediction as most major centers, so he can be conservative too",Observation
29,Atmosphere & Solar/Gs32qyyaIAAx7jM.jpg,Peter Carter Climate Emergency,2025,Academic/Peer-reviewed,Primary,30month 3.4 ppm increase,"previous decade was 2.4ppm, so 40% increase.  Rate of increase is increasing so we're on at least highest IPCC pathway",42%,,FALSE,TRUE,2,Why do we even talk of reductions constantly?  We've never done it worldwide for a sustained period.  We should be talking about unexpected accelerations just as often,
30,Atmosphere & Solar/IPCC_AR6_WGI_Figure_7_6.png,IPCC AR6 Aerosol Estimate,2020,Academic/Peer-reviewed,Primary,IPCC estimates of forcings,"Total negative forcing from aerosols is -1, and soil is not listed",,,FALSE,TRUE,2,,
31,Atmosphere & Solar/JGR Atmospheres - 2024 - Malik - Accelerated Historical and Future Warming in the Middle East and North Africa.pdf,Accelerated Historical and Future Warming in the Middle East and North Africa,2024,Academic/Peer-reviewed,Secondary,Arabian Peninsula and parts of Africa will hit 'world mean's 2 to 3 decades prior to those points.  7C is likely for them in a 4C world,"Nearly doubled warming for region vs world, 7C+ (as even 4C pathway might be 'low')",,,TRUE,TRUE,4,"3C becomes unsurvivable for nearly whole continents using 'consensus' growth in heating.  Partly enthalpy/humidity consideration here which is great.   But still implicitly uses 35C number for wet bulb which is 'suspect'.  So we might be getting unlivable areas possible around 2C worldwide.  So...could show up around 2026+?  Maybe even now if current heatwaves aren't indicators of full potential.  We have confirmation of possible regions, but keep in mind soil/atmosphere interactions too.  Possible for such events to occur places not generally seen as 'humid'.  Even 'dry air locations' was considered in other studies.",Trends in surface equivalent potential temperature: A more comprehensive metric for global warming and weather extremes
32,Atmosphere & Solar/LkKzaFCaVrZVNhyMTw2q7j.png,"Space Weather Prediction Center NASA, 2025 amounts",2025,Academic/Peer-reviewed,Secondary,Solar Flux is 190ish for 2024,140ish predicted,36%,,FALSE,TRUE,1,,
33,Atmosphere & Solar/NPA EEI.jpg,Leon Simons North Pacific EEI,2025,Academic/Peer-reviewed,Primary,"2014 ASR/OSR decoupling.  Regional is 2w/m2, above general levels",worldwide is 1.4 w/m2,,,FALSE,TRUE,2,,
34,Atmosphere & Solar/NPA EEI2.jpg,Leon Simons North Pacific EEI + PDO,2025,Academic/Peer-reviewed,Primary,PDO vs ASR drift leads to 5w/m2 - 1w/m2 total forcing,peak of 4w/m2 in north pacific vs 1.4w/m2 worldwide,186%,,FALSE,TRUE,2,"Nearly 3x local forcing from regional currents means we can have local areas that heat up much more than expected.  Local structures can suffer then, ice/hydrates/population/ecosystem.  Think of how many 'regional' tipping points that effect earth.  Thwaites, Amazon, Poles, ESAS.  Including as expectation assessed because we need to understand that general obs can have HUGE variance from baseline",
35,Atmosphere & Solar/Picture 1.png,Climate Reanalyzer Daily Surface Air Temp,2024,Academic/Peer-reviewed,Secondary,First 8 months of 2024 ALL record for SST,"7 was previous record for 2023, before that 3 was record.  Heat is nonlinear even on a planetary scale",,,FALSE,TRUE,2,If planetary heat is nonlinear than regional heat will be even worse right?,
36,Atmosphere & Solar/Picture 3.jpg,Climate Reanalyzer Precipitable Water,2024,Academic/Peer-reviewed,Secondary,2 years reach peaks of 8.5 std deviations in TCPW,6 was previous record.  Water column is nonlinear as well,40%,,FALSE,TRUE,2,ever realize that current plan is more watervapor > more storms > more damage > more cost to repair > more CO2 > more watervapor,
37,Atmosphere & Solar/[15200442 - Journal of Climate] Need for Caution in Interpreting Extreme Weather Statistics.pdf,Need for Caution in Interpreting Extreme Weather Statistics - journal of climate,2015,Academic/Peer-reviewed,Secondary,SGS distriputions are likely better with tail data given the short historical record,"Many 'extreme' events might be attributed to climate change that shouldn't be.  Hard to quantify this, NAO and NP might as example have had no significant changes so far",,,FALSE,FALSE,2,"I do agree we never constrained the 'pre-global warming' system, so talking about what concept caused something vs the physicality is already political as hell",
38,Atmosphere & Solar/aerosol measurements.jpg,Aerosol forcing constraints,2025,Unknown,Secondary,Aerosol forcing constraints,Different studies places 3x-4x order of magnitude on possible ranges,200%,Going with lower value,FALSE,TRUE,3,Large error in understanding pollution > more disease resulting from pollution that we haven't yet identified?  What other biophysical properties aren't constrained properly with these molecules?,Hansen
39,Atmosphere & Solar/aerosols overtake ghg.pdf,Aerosols overtake greenhouse gases causing a warmer climate and more weather extremes toward carbon neutrality,2023,Academic/Peer-reviewed,Secondary,"in a CESM SSP1 scenario, aerosols may be 'more meaningful' than GHG in terms of total forcing.","Unless aerosols are also counted, GHG only pathways will miss main drivers of heat.  The problem isn't just GHG, but aerosols as well which might be 'bigger' in the short term meaning even reductions of gases causes temporary inceases in heating.  .5 - 1.4C temporarily even from .2C from GHG increases",167%,,FALSE,TRUE,3,"I hate when we try to do math with such huge windows.  We assume the values MUST lie within that window…but if we have such a huge window, maybe its because we don't understand the value?",Hansen
40,Atmosphere & Solar/annual global earth imbalance.jpg,EEI El Nino Comparison,2025,Unknown,Secondary,"El nino vs EEI increase, trend is .45w/m2 per decade",,,,FALSE,TRUE,1,"We end up with around 2.5w/m2 by 2035, which is giant.  BTW, this is how I calculated heating, this steady growth.  My initial math suggests 2.5C at least by this same point.  And I wasn't factoring in the >2C tipping points yet",
41,Atmosphere & Solar/arkstorm.pdf,USGS Arkstorm Scenario,2010,Government,Secondary,"ARKstorms are inevitable on a large enough time scale, and can likely exceed 'big one' earthquakes in total damage",CA is mostly unprepared for a storm of this size.  Damage could be 700Billion+ and 1.5million evacuees (2010),,"Almost put 200% here, as ARKstorm damage is likely 3x the damage as the Big One, but there is now common acceptance this event could happen.  And is being made more likely",FALSE,TRUE,3,I'm adding this to assumptions if only because this is a) a historical event that has repeatedly occurred and b) worse than the 'big one' (likely) but wholly underappreciated by the public.  Oh AND more global warming > more water vapor > bigger/more common arkstorm?,Multiple
42,Atmosphere & Solar/atmo co2 growth.jpg,Atmospheric Co2 Growth Glen Peters,2025,Academic/Peer-reviewed,Secondary,Estimate of 3.6 ppm Co2 growth for 2024,Previous record was below 3,24%,,FALSE,TRUE,3,,Multiple
43,Atmosphere & Solar/cc2year.jpg,surface 2 year running mean - climate casino,2024,Academic/Peer-reviewed,Secondary,"2 year running mean is 1.6C, in 2024","Using IPCC we'd hit 1.5C by 2040, using this we hit 2038 minimum (if not right now dammit)",47%,"Error here could be anywhere from 2 to 15 years, depending on how hot things get next. Middle point is 7 years, so we'll go with that.",TRUE,FALSE,2,,
44,Atmosphere & Solar/ccgsta.jpg,climate casino global surface temp anomaly,2024,Academic/Peer-reviewed,Secondary,Dec 2024 tally - hottest year on record,,,,FALSE,TRUE,2,,
45,Atmosphere & Solar/cc365.jpg,climate casino 365 running mean,2024,Academic/Peer-reviewed,Secondary,Highest mean of 2024 is 1.64C,,,,TRUE,TRUE,2,"24 months > 1.5C minimum is 1.5C for most threshholds, we should be modeling exactly what changes happen and then going to look for observational here.  We did it with antarctic methane and look what we found",
46,Atmosphere & Solar/lstotal.jpg,Leon Simons total ghg forcing,2025,Academic/Peer-reviewed,Secondary,2024  co2 equavialent is 567 ppm,IPCC is 490ish,16%,"This could be a lot higher if we looked at the *effects* of those numbers, but let's just measure them for now",FALSE,TRUE,3,"Frustrating we can't even calculate the 'total GHG burden' right now with less than 20%.  If we're using threshhold as important, but we're 20% off…well then we don't quite know where they are yes?  Why assume they're not already 'hit'?",Observation
47,Atmosphere & Solar/ccmaxtotal.jpg,Maximum Daily Total Mean climate casino,2025,Academic/Peer-reviewed,Secondary,17.2 is total mean temp for world,This makes .25C leap worldwide in 2023 after 7 'flat years'.  No signs of a peak or plateauing,,,TRUE,TRUE,2,".25C worldwide was noticeable, many people could 'feel' it.  Means bigger shifts will cause even more result right?",
48,Atmosphere & Solar/ccmonthly.jpg,Climate casino monthly chart,2025,Academic/Peer-reviewed,Secondary,6 months above 1.7C,"peaks are being sustained, warming is lingering as well as rising",,,TRUE,TRUE,2,,
49,Atmosphere & Solar/cc3652.jpg,Climate Casino Global Mean Surface Temp Anomaly,2025,Academic/Peer-reviewed,Secondary,.45C jump inside 12 months,larger than any leaps in past 4 years and outside expectations,50%,"This is 2x the DECADAL average. So how do we assess this? I'd suggest we can remove half, it's expected (even in a year), but the rest is pretty huge no? Let's go with half a decadal error then",TRUE,TRUE,2,"This is what really worries me though. 45C, in 12 months, worldwide.  That suggests the entire system can move swiftly and not at all the 'gradual' picture once assumed.  We're past 'soft' shifts into the the 'hard' ones",
50,Atmosphere & Solar/ccgsta2.jpg,climate casino global surface temp anomaly,2025,Academic/Peer-reviewed,Secondary,Update to 2025,1.5C remains surpassed in every way,,,TRUE,TRUE,2,,
51,Atmosphere & Solar/ccwater.jpg,Total Colum Precipitable water climate casino,2025,Academic/Peer-reviewed,Secondary,"Column water has risen steadily since the 1940s, but is accelerating",Total water up 8%,,,FALSE,TRUE,2,,
52,Atmosphere & Solar/bartusek_pnw_heatwave_2021.pdf,2021 North American Heatwave Amplified by Climate-Change-Driven Nonlinear Interactions,2024,Academic/Peer-reviewed,Primary,Soil atmosphere and changing air dynamics makes an event that was likely highly improbably at least 400x more likely,"500,000 to 400x more likely, this represents threshhold math events, and isn't capture by most modeling.  Soil atmosphere feedbacks are missing from many models at the resolution necessary for this event",2000%,"I *could* put high ends, but let's keep to the low. But not the lowest, either.",TRUE,TRUE,4,"We aren't modeling interactions between air temp, water in soil/air, and soil absorptions together, in nearly enough resolution.  Like ocean inertia jumps, resonance between systems or counter resonance between them means 'lurches' and surges happen without prediction.  Notice how poorly elements are constrained in this list, and then ask, if an extreme result in one system meets up with an extreme result in another, what's the final figure?",The most at-risk regions in the world for high-impact heatwaves
53,Atmosphere & Solar/constraint of cloud feedback.pdf,Multi-objective observational constraint of tropical Atlantic and Pacific low-cloud variability narrows uncertainty in cloud feedback,2024,Academic/Peer-reviewed,Secondary,Attempts to constrain sub tropical low marine clouds,"71% likely increase in size of feedback, meaning low climate sensitivity models are less likely and positive feedbacks likely larger",71%,,TRUE,TRUE,3,"less clouds > more heat > less clouds, is one of the tightest loops we could have.  The larger this number gets, the worse that loop trends in speed",Hansen - cloud feedbacks
54,Atmosphere & Solar/earth albedo.jpg,Climate Casino Earth Albedo,2025,Academic/Peer-reviewed,Secondary,Earth's albedo continues to drop without significant rise.  .6% total loss in 23 years,"acceleration in 23/24, means more than just SO2 loss.  Steady process implies no peaks and heating will continue to not just grow but accelerate",100%,".3 to 1% is general IPCC 2050 estimate. And we're at least 2x that already? Hard to say where this ends up, but I'm going with 100% so far",TRUE,TRUE,3,So many things effect albedo,Recent global temperature surge amplified by record-low planetary albedo
55,Atmosphere & Solar/era5_world_t2_21125.jpeg,Daily Surface Air Temps Climate Reanalyzer,2025,Academic/Peer-reviewed,Secondary,"2025 hotter than 2024, despite 5+ months of la nina","Air temps are not lagging sea temps by 3  months, Dec of 2025 is hottest ever",,,TRUE,TRUE,3,"Either la nina is having a modest effect and underlining warming is even hotter, or la nina isn't having an effect which means its 'broken' from most behaviors.  Either way suggests to me that the other heating forcings are starting to overwhelm previous dominant patterns",Observation
56,Atmosphere & Solar/europe summer warming underestimated.jpg,Summer warming in Europe underestimated (no SO2 reduction yet),2024,Academic/Peer-reviewed,Secondary,European summer heating is outpacing modeling,"Higher than CMIP6 ranges in most instances, consistently.  This may imply high end heating errors in CMIP6/other models, which boads poorly if we're in for more heat overall",10%,,TRUE,TRUE,3,"European summers are likely some of the most dangerous months - so if we're correct the rest of the year but wrong here, lots of people can die.  Is this true on other continents?  Africa and South Asia are also heating more than expected, as is Artic and Antarctic.  Could it be we just aren't anticipating heating properly anywhere, and why?  How much is bad models and how much is missed detail?",Accelerated Historical and Future Warming in the Middle East and North Africa
57,Atmosphere & Solar/global temp anomaly trajectories.jpg,20 yr mean 1.5 calc,2025,Academic/Peer-reviewed,Secondary,WMO forecast mean is above 1.5C from 2026 on,"This would mean we 'effectively' pass 1.5 in 2026, though this will not 'appear' for 15 years (how silly is this)",,,TRUE,TRUE,3,,Observation
58,Atmosphere & Solar/heat surge to albedo.pdf,Recent global temperature surge amplified by record-low planetary albedo,2025,Academic/Peer-reviewed,Secondary,"low cloud cover albedo feedback may be manifesting.  .07C increase was el nino, .23C was albedo - this matches their assessment of heat increase.","Ceres is 1.33, Era is .6 to 1, doubling forcing",100%,,FALSE,TRUE,3,"Again a big window for possible cloud feedbacks, and consider, this is at (relatively) low temp anomalies.  My guess is uncertainty here will RISE as temps do, meaning ceiling…could be very high",Multiple
59,Atmosphere & Solar/high risk regions for heatwaves.pdf,The most at-risk regions in the world for high-impact heatwaves,2022,Academic/Peer-reviewed,Secondary,Past records do not define future events.  EVT suggest 31% of heatwaves are already beyond previous possibilitiy.  This occurs even in low heat pathways,"Tail risks are underestimated, and adaptation is occuring post not prior to events, which means locations will be hit with events they are wholly unprepared for.  Heating is nonlinear in size but nearly universal in scope already",31%,"This is the amount of heatwaves that are 'new'. We could probably go larger here by figuring out how much models are having to be 'shifted up', but minimum would suggest this number or else heatwaves wouldn't be mappable…",TRUE,TRUE,4,"This all but guarantees heat events beyond 'prediction'.  IE, 140 in Phoenix.  And now consider 140C in Phoenix for 2 days > Phoenix suffers mass casualty > no phoenix data centers > network disruption to how many services?  This is possible now.",Global emergence of regional heatwave hotspots outpaces climate model simulations
